name,html_url
Archies11,https://github.com/debck/File-Creator-CLI/issues/12
karagudisuma,https://github.com/Ignitus/Ignitus-client/issues/169
zonagilreath,https://github.com/opsdroid/opsdroid/issues/725
plxity,https://github.com/Ignitus/Ignitus-client/issues/156
c015dariu,https://github.com/gchq/gaffer-tools/issues/626
biswaroop1547,https://github.com/lingonsaft/hacktoberfest/issues/2171
sidalidev,https://github.com/Ignitus/Ignitus-client/issues/114
Rupeshiya,https://github.com/Ignitus/Ignitus-client/issues/112
bit-man,https://github.com/dipakkr/A-to-Z-Resources-for-Students/issues/171
SergiyGolov,https://github.com/WebClub-NITK/Hacktoberfest-2k18/issues/209
zilvinas-gasiunas,https://github.com/lingonsaft/hacktoberfest/issues/1435
sartajroshan,https://github.com/lingonsaft/hacktoberfest/issues/1348
Martskin,https://github.com/Ignitus/Ignitus-client/issues/58
